ID_MOEDA,DATA_REF,VL_COTACAO
KES,01/01/2010,7.974150777
KES,04/01/2010,4.607322633
KES,05/01/2010,6.311139584
KES,06/01/2010,3.202191174
KES,07/01/2010,6.084029078
KES,08/01/2010,4.086037338
KES,11/01/2010,7.199946642
KES,12/01/2010,4.310916483
KES,13/01/2010,7.182413697
KES,14/01/2010,3.267201841
KES,15/01/2010,3.977498055
KES,18/01/2010,4.76512748
KES,19/01/2010,7.209185004
KES,20/01/2010,7.768675029
KES,21/01/2010,6.477717161
KES,22/01/2010,7.000554144
KES,25/01/2010,1.044653058
KES,26/01/2010,5.387026727
KES,27/01/2010,7.998394489
KES,28/01/2010,7.061324894
KES,29/01/2010,2.743932605
KES,01/02/2010,3.394412696
KES,02/02/2010,6.410562754
KES,03/02/2010,1.271841586
KES,04/02/2010,4.521318078
KES,05/02/2010,4.585449636
KES,08/02/2010,6.017871857
KES,09/02/2010,1.658654511
KES,10/02/2010,7.484658599
KES,11/02/2010,6.074090183
KES,12/02/2010,7.165963888
KES,15/02/2010,4.122337401
KES,16/02/2010,5.119732976
KES,17/02/2010,6.840497911
KES,18/02/2010,4.601848125
KES,19/02/2010,7.359362423
KES,22/02/2010,3.524624705
KES,23/02/2010,3.027922332
KES,24/02/2010,1.583276033
KES,25/02/2010,5.533975184
KES,26/02/2010,1.394096971
KES,01/03/2010,5.989573896
KES,02/03/2010,4.738116264
KES,03/03/2010,3.700069726
KES,04/03/2010,6.753967643
KES,05/03/2010,6.085498989
KES,08/03/2010,6.673729658
KES,09/03/2010,6.973063529
KES,10/03/2010,6.445484281
KES,11/03/2010,1.229454935
KES,12/03/2010,5.336344242
KES,15/03/2010,4.451772511
KES,16/03/2010,7.35969913
KES,17/03/2010,6.185784996
KES,18/03/2010,4.120430231
KES,19/03/2010,3.890286028
KES,22/03/2010,2.421844125
KES,23/03/2010,7.616293371
KES,24/03/2010,6.728075027
KES,25/03/2010,5.119841874
KES,26/03/2010,1.325705886
KES,29/03/2010,4.877120197
KES,30/03/2010,6.778358221
KES,31/03/2010,3.220701277
KES,01/04/2010,7.018000722
KES,02/04/2010,3.565616548
KES,05/04/2010,7.166726589
KES,06/04/2010,7.444023907
KES,07/04/2010,7.932749629
KES,08/04/2010,3.817219436
KES,09/04/2010,6.174369097
KES,12/04/2010,5.883742869
KES,13/04/2010,6.975653291
KES,14/04/2010,4.35232681
KES,15/04/2010,6.327591896
KES,16/04/2010,1.898439705
KES,19/04/2010,3.258467078
KES,20/04/2010,1.273172557
KES,21/04/2010,4.007193327
KES,22/04/2010,3.283219397
KES,23/04/2010,3.58337605
KES,26/04/2010,2.610701501
KES,27/04/2010,1.807838917
KES,28/04/2010,6.191585362
KES,29/04/2010,7.677369952
KES,30/04/2010,2.621444404
KES,03/05/2010,1.64743638
KES,04/05/2010,1.807314456
KES,05/05/2010,2.176618218
KES,06/05/2010,6.834392965
KES,07/05/2010,6.62651062
KES,10/05/2010,5.766331971
KES,11/05/2010,5.36084497
KES,12/05/2010,2.84787482
KES,13/05/2010,3.637578726
KES,14/05/2010,5.328586638
KES,17/05/2010,1.637704015
KES,18/05/2010,2.876428545
KES,19/05/2010,3.724524975
KES,20/05/2010,6.299925625
KES,21/05/2010,3.77715385
KES,24/05/2010,4.047678649
KES,25/05/2010,7.191975832
KES,26/05/2010,4.703969538
KES,27/05/2010,4.895832658
KES,28/05/2010,6.449210584
KES,31/05/2010,5.46467495
KES,01/06/2010,2.20398742
KES,02/06/2010,2.191433311
KES,03/06/2010,4.925445735
KES,04/06/2010,5.696858168
KES,07/06/2010,2.27477175
KES,08/06/2010,1.427078366
KES,09/06/2010,3.624516428
KES,10/06/2010,1.131628513
KES,11/06/2010,1.124513447
KES,14/06/2010,2.165695071
KES,15/06/2010,4.295140922
KES,16/06/2010,6.210331202
KES,17/06/2010,1.366676867
KES,18/06/2010,5.754390359
KES,21/06/2010,3.333498418
KES,22/06/2010,2.431928635
KES,23/06/2010,6.441874802
KES,24/06/2010,4.05882585
KES,25/06/2010,4.580104053
KES,28/06/2010,4.962375402
KES,29/06/2010,2.789743483
KES,30/06/2010,4.947592854
KES,01/07/2010,5.8666839
KES,02/07/2010,4.993993282
KES,05/07/2010,6.770817578
KES,06/07/2010,3.526587367
KES,07/07/2010,1.313049972
KES,08/07/2010,4.854846239
KES,09/07/2010,1.338405192
KES,12/07/2010,4.123385072
KES,13/07/2010,6.373975217
KES,14/07/2010,5.868115425
KES,15/07/2010,7.460462868
KES,16/07/2010,2.02161634
KES,19/07/2010,7.636068523
KES,20/07/2010,4.96147418
KES,21/07/2010,3.291470587
KES,22/07/2010,1.945341229
KES,23/07/2010,5.364649713
KES,26/07/2010,7.026463032
KES,27/07/2010,6.094306767
KES,28/07/2010,3.293424487
KES,29/07/2010,1.800624549
KES,30/07/2010,4.027864695
KES,02/08/2010,1.912123263
KES,03/08/2010,1.123910546
KES,04/08/2010,5.207359731
KES,05/08/2010,4.863079071
KES,06/08/2010,2.990220368
KES,09/08/2010,2.888398528
KES,10/08/2010,7.667557895
KES,11/08/2010,3.971498251
KES,12/08/2010,1.947921813
KES,13/08/2010,4.916417241
KES,16/08/2010,6.630132616
KES,17/08/2010,7.693881512
KES,18/08/2010,4.700449765
KES,19/08/2010,5.649800181
KES,20/08/2010,7.207083404
KES,23/08/2010,6.381730318
KES,24/08/2010,2.13079983
KES,25/08/2010,6.627060533
KES,26/08/2010,5.22037071
KES,27/08/2010,4.256663322
KES,30/08/2010,6.511616051
KES,31/08/2010,1.217766166
KES,01/09/2010,6.99879092
KES,02/09/2010,2.019791365
KES,03/09/2010,5.677065909
KES,06/09/2010,7.106914639
KES,07/09/2010,1.924851358
KES,08/09/2010,2.211092472
KES,09/09/2010,2.944715321
KES,10/09/2010,2.5293082
KES,13/09/2010,6.731645286
KES,14/09/2010,2.31878686
KES,15/09/2010,2.787403643
KES,16/09/2010,4.253928781
KES,17/09/2010,6.549726903
KES,20/09/2010,3.638711929
KES,21/09/2010,5.255118668
KES,22/09/2010,7.318313003
KES,23/09/2010,2.703986347
KES,24/09/2010,7.883697271
KES,27/09/2010,2.146871626
KES,28/09/2010,3.512927175
KES,29/09/2010,6.26052469
KES,30/09/2010,1.542939663
KES,01/10/2010,2.932572186
KES,04/10/2010,1.615542293
KES,05/10/2010,5.323528945
KES,06/10/2010,4.991378069
KES,07/10/2010,6.424903452
KES,08/10/2010,7.37560904
KES,11/10/2010,4.082147062
KES,12/10/2010,4.349068642
KES,13/10/2010,2.201196969
KES,14/10/2010,5.248632789
KES,15/10/2010,7.607362926
KES,18/10/2010,4.090559721
KES,19/10/2010,1.775307715
KES,20/10/2010,4.880548596
KES,21/10/2010,1.398871362
KES,22/10/2010,4.404266834
KES,25/10/2010,1.51948911
KES,26/10/2010,5.34209621
KES,27/10/2010,2.681953132
KES,28/10/2010,1.301847696
KES,29/10/2010,3.336268008
KES,01/11/2010,3.113195062
KES,02/11/2010,1.454349935
KES,03/11/2010,2.477577209
KES,04/11/2010,2.080319703
KES,05/11/2010,1.817319274
KES,08/11/2010,1.283139408
KES,09/11/2010,2.917722464
KES,10/11/2010,2.730342925
KES,11/11/2010,2.705872655
KES,12/11/2010,5.851610124
KES,15/11/2010,4.259917736
KES,16/11/2010,4.310934842
KES,17/11/2010,3.892563701
KES,18/11/2010,7.256136596
KES,19/11/2010,7.902539492
KES,22/11/2010,6.564466059
KES,23/11/2010,1.337780595
KES,24/11/2010,4.053054273
KES,25/11/2010,2.864081383
KES,26/11/2010,4.37295562
KES,29/11/2010,5.582966208
KES,30/11/2010,7.055534542
KES,01/12/2010,4.392529249
MRU,01/01/2010,3.773824334
MRU,04/01/2010,5.706837118
MRU,05/01/2010,6.016990662
MRU,06/01/2010,5.571454346
